Abbreviation	Metabolite Name
12PPD	"1,2-Propanediol "
13DPG	"1,3-bis-Phosphoglycerate"
23DHB	"2,3-Dihydroxybenzoate"
23DHBA	"2,3-Dihydroxybenzoyl-adenylate"
23DHDHB	"2,3-Dihydo-2,3-dihydroxybenzoate"
2A3O	2-Amino-3-oxobutanoate
2KD6PG	2-keto-3-deoxy-6-phospho-gluconate
2O6H	2-Octaprenol 6-hydroxyphenol
2OMHMB	"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone"
2OPMB	"2-Octaprenyl-6-methoxy-1,4-benzoquinone"
2OPMMB	"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone"
2OPMP	2-Octaprenyl-6-methoxyphenol
2OPPP	2-Octaprenylphenol
2PG	2-Phosphoglycerate
3DDAH7P	3-Deoxy-d-arabino heptulosonate-7-phosphate
3PG	3-Phosphoglycerate
3PSER	3-Phosphoserine
3PSME	3-Phosphate-shikimate
4HBZ	4-Hydroxybenzoate
4HLT	4-Hydroxy-l-tyrosine
4PPNCYS	4'-Phosphopantothenoylcysteine
4PPNTE	4'-Phosphopantetheine
4PPNTO	4'-Phosphopantothenate
5MTA	5-Methylthioadenosine
5MTR	5-Methylthio-D-ribose
5MTR1P	5-Methylthio-5-deoxy-D-ribulose 1-phosphate
5MTRP	S5-Methyl-5-thio-D-ribose 1-phosphate
A5P	D-Arabinose 5-phosphate
A6RP	"5-Amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione"
A6RP5P	"5-Amino-6-(ribosylamino)-2,4-(1H,3H)-pyrimidinedione 5'-phosphate"
A6RP5P2	"5-Amino-2,6-dioxy-4-(5'-phosphoribitylamino)pyrimidine"
AA	D-Alanyl-D-alanine
AACCOA	Acetoacetyl-CoA
ABUT	2-Aceto-2-hydroxy butyrate
AC	Acetate
ACACP	Acetyl-ACP
ACAL	Acetaldehyde
ACCOA	Acetyl-CoA
ACLAC	Acetolactate 
ACP	acyl-carrier protein
ACTP	Acetyl-phosphate
AD	Adenine
ADCHOR	4-Amino-4-deoxychorismate
ADN	Adenosine
ADP	Adenosine diphosphate
ADPGLC	From RBC
ADPHEP	ADP-Mannoheptose
AGM	Agmatine
AHHMD	2-Amino-4-hydroxy-6-hydroxymethyl dihydropteridine-pp
AHHMP	2-Amino-4-hydroxy-6-hydroxymethyl dihydropteridine
AHM	4-Amino-5-hydroxymethyl-2-methylpyrimidine
AHMP	4-Amino-5-hydroxymethyl-2-methylpyrimidine-phosphate
AHMPP	4-Amino-5-hydroxymethyl-2-methylpyrimidine-pyrophosphate
AHTD	2-Amino-4-hydroxy-6-(erythro-1-2-3-trihydroxypropyl) dihydropteridine-p
AICAR	5-Phosphate-ribosyl-5-amino-4-imidazole carboxamide
AIR	5-Phosphoribosyl-5-aminoimidazole
AKG	a-Ketoglutarate
AKP	a-Ketopantoate
ALA	Alanine
ALAV	D-Aminolevulinate
AMP	Adenosine monophosphate
AN	Antranilate
AONA	8-Amino-7-oxononanoate
APS	Adenylyl sulfate
ARAB	Arabinose
ARG	Arginine
ARGSUCC	L-Arginio succinate
ASER	O-Acetylserine
ASN	Asparagine
ASP	Aspartate
ASPSA	Aspartic beta-semialdehyde
ASUC	Adenilsuccinate
ATP	Adenosine triphosphate
bALA	b-Alanine
BASP	b-Aspartyl phosphate
BCAA	Branched chain amino acid
bDG6P	b-D-Glucose 6-Phosphate
bDGLC	b-D-Glucose
BT	Biotin
C120ACP	Dodecanoyl-[acyl-carrier protein]
C140	Myristic acid
C140ACP	Myristoyl-[acyl-carrier protein]
C141ACP	Tetradecenoyl-[acyl-carrier protein]
C160	Palmitic acid
C160ACP	Hexadecanoyl-[acyl-carrier protein]
C161ACP	Hexadecenoyl-[acyl-carrier protein]
C180	Stearic acid
C181ACP	Oleoyl-[acyl-carrier protein]
CAASP	Carbamoyl aspartate
